                                              Dest      17kW      10kW      64kW      21kW       8kW      11kW      14kW      40kW      16kW      13kW       6kW      20kW
                        Mosaic Hotel Beverly Hills         0         0         0         0         0         0         0         0         2         0         0         0
                  Bella Vista Bed & Breakfast Inc.         0         0         0         0         0         0         0         0         1         0         0         0
                       Torrance Marriott South Bay         0         0         0         0         0         0         0         0         0         1         0         0
                                 Geoffrey's Malibu         0         0         0         0         0         0         0         0         4         0         0         0
                           Ayres Inn - Corona East         0         0         0         0         0         0         0         0         3         0         0         0
                           Travelodge Santa Monica         0         0         0         0         0         0         0         0         0         0         2         0
                            Silverado Resort & Spa         0         0         0         0         0         0         0         0        12         0         0         0
                         Calistoga Spa Hot Springs         0         0         0         0         2         0         0         0         0         0         0         0
McCaffrey House Bed & Breakfast Inn, a Select Registry Property         0         0         0         0         0         0         0         0         1         0         0         0
                                         Meadowood         0         0         0         0         0         0         0         0         6         0         0         0
                                  Adelaida Cellars         0         0         0         0         2         0         0         0         0         0         0         0
                                    Hilton Anaheim         0         0         0         0         0         0         0         0         3         0         0         0
                                       Andis Wines         0         0         0         0         2         0         0         0         0         0         0         0
                                The Bewildered Pig         0         1         0         0         0         0         0         0         0         0         0         0
                Hyatt Regency La Jolla at Aventine         0         0         0         0         0         0         0         0         4         0         0         0
                  Red Lion Inn & Suites Susanville         0         0         0         0         0         0         0         0         2         0         0         0
                         Best Western Antelope Inn         0         0         0         0         0         0         0         0         2         0         0         0
                              Vincent Hill Station         0         0         0         0         0         0         0         0         3         0         0         0
                                   Rental Property         0         0         0         0         1         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         2         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0
                        Twomey Cellars, Healdsburg         0         0         0         0         0         0         0         0         1         0         0         0
                          Lakehouse Hotel & Resort         0         0         0         0         1         0         0         0         0         0         0         0
                              Odette Estate Winery         0         0         0         0         0         0         0         0         1         0         0         0
                   Golden Door Luxury Resort & Spa         0         0         0         0         0         0         0         0         2         0         0         0
                      Velo Vino Clif Family Winery         0         0         0         0         0         0         0         0         1         0         0         0
                            Mount View Hotel & Spa         0         0         0         0         1         0         0         0         0         0         0         0
                       Holiday Inn Express Solvang         0         0         0         0         0         0         0         0         0         2         0         0
                 Delicato Family Vineyards Manteca         0         0         0         0         0         0         0         0         1         0         0         0
                      Holiday Inn Express & Suites         0         0         0         0         2         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         2         0         0         0
                                   Jamestown Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                Best Western Danville Sycamore Inn         0         0         0         0         2         0         0         0         0         0         0         0
                       Kendall Jackson Wine Estate         0         0         0         0         0         0         0         0         1         0         0         0
                                    The Poetry Inn         0         0         0         0         1         0         0         0         0         0         0         0
          Sea Rock Inn, a Select Registry Property         0         0         0         0         0         0         0         0         0         2         0         0
                       Best Western Plus Black Oak         0         0         0         0         0         0         0         0         1         0         0         0
              Chase International South Lake Tahoe         0         0         0         0         0         0         0         0         1         0         0         0
                                  San Ysidro Ranch         0         0         0         0         0         0         0         0         2         0         0         0
                       Hilton Garden Inn Palo Alto         0         0         0         0         0         0         0         0         0         3         0         0
                        Spear Vineyards and Winery         0         0         0         0         0         0         0         0         2         0         0         0
                       The Stanford Inn by the Sea         0         0         0         0         0         0         0         0         1         0         0         0
                             Resort at Squaw Creek         0         0         0         0         0         0         0         0         7         0         0         0
                        Ayres Suites - Yorba Linda         0         0         0         0         0         0         0         0         3         0         0         0
                                 Hotel Azure Tahoe         0         0         0         0         0         0         0         0         2         0         0         0
                      Best Western Plus Fresno Inn         0         0         0         0         0         0         0         0         1         0         0         0
                             Mozambique Restaurant         0         0         0         0         2         0         0         0         0         0         0         0
                                 AKA Beverly Hills         0         0         0         0         3         0         0         0         0         0         0         0
                                          US Grant         0         0         0         0         3         0         0         0         0         0         0         0
                                  Toll House Hotel         0         0         0         0         0         0         0         0         6         0         0         0
                           Palos Verdes Art Center         0         0         0         0         0         0         0         0         2         0         0         0
                              Sunset Marquis Hotel         0         0         0         0         0         0         0         0         6         0         0         0
           Hyatt Regency Indian Wells Resort & Spa         0         0         0         0         3         0         0         0         0         0         0         0
                                      Rotta Winery         0         0         0         0         3         0         0         0         0         0         0         0
            Best Western Plus Yosemite Gateway Inn         0         0         0         0         0         0         0         0         0         2         0         0
                            LEVEL Furnished Living         0         0         0         0         3         0         0         0         0         0         0         0
             Monterey Tides, a Joie de Vivre hotel         0         0         0         0         0         0         0         0         3         0         0         0
                               Long Beach Marriott         0         0         0         0         0         0         0         0         0         2         0         0
     Juniper Cupertino, Curio Collection by Hilton         0         0         0         0         1         0         0         0         0         0         0         0
                       The Redwood Riverwalk Hotel         0         0         0         0         2         0         0         0         0         0         0         0
                     Tachi Palace Hotel and Casino         0         0         0         0         0         0         0         0         5         0         0         0
                               Cambria Pines Lodge         0         0         0         0         0         0         0         0         2         0         0         0
                               Beverly Hills Hotel         0         0         0         0         0         0         0         0         5         0         0         0
                            AutoCamp Russian River         0         0         0         0         2         0         0         0         0         0         0         0
                            Peltzer Family Cellars         0         0         0         0         2         0         0         0         0         0         0         0
               T Sportline - Al and Ed's Autosound         0         0         0         0         0         0         0         0         3         0         0         0
                             Trinchero Napa Valley         0         0         0         0         1         0         0         0         0         0         0         0
                                      Casa Madrona         0         0         0         0         0         0         0         0         1         0         0         0
                             Super 8 Motel Fortuna         0         0         0         0         0         0         0         0         0         0         2         0
                          101 Second Street Garage         0         0         0         0         2         0         0         0         0         0         0         0
                           Marriott's Timber Lodge         0         0         0         0         0         0         0         0         2         0         0         0
